"filename", "language", "JavaScript", "Markdown", "CSS", "ApexLog", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 27220, 0, 0, 1, 27221
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\package.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 23, 3, 43
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\public\robots.txt", "ApexLog", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\App.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 11, 99
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\api\axios.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\AppointmentPage.js", "JavaScript", 58, 0, 0, 0, 0, 0, 1, 9, 68
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\Appointments.js", "JavaScript", 184, 0, 0, 0, 0, 0, 10, 18, 212
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\AppointmentsPage.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\CreateAppointment.js", "JavaScript", 138, 0, 0, 0, 0, 0, 10, 16, 164
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\EditAppointment.js", "JavaScript", 151, 0, 0, 0, 0, 0, 4, 17, 172
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\Editor.js", "JavaScript", 144, 0, 0, 0, 0, 0, 1, 13, 158
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Appointments\MyAppointments.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 14, 167
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\Login.js", "JavaScript", 92, 0, 0, 0, 0, 0, 3, 14, 109
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\Register.js", "JavaScript", 200, 0, 0, 0, 0, 0, 4, 22, 226
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\RegisterDoctor.js", "JavaScript", 271, 0, 0, 0, 0, 0, 4, 30, 305
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\RequireAuth.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\ResetPassword.js", "JavaScript", 163, 0, 0, 0, 0, 0, 4, 19, 186
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Authorization\Unauthorized.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Footer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Home.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Layout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Missing.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\NavBar.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Notifications.js", "JavaScript", 81, 0, 0, 0, 0, 0, 1, 11, 93
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Main\Title.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\ConfirmationModal.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\ErrorModal.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\ModalStyles.css", "CSS", 0, 0, 78, 0, 0, 0, 5, 15, 98
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\RedirectModal.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\SuccessModal.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Modals\SuccessSelectModal.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Notes\CreateNote.js", "JavaScript", 104, 0, 0, 0, 0, 0, 6, 12, 122
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Notes\EditNote.js", "JavaScript", 99, 0, 0, 0, 0, 0, 2, 12, 113
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Notes\NotePage.js", "JavaScript", 44, 0, 0, 0, 0, 0, 2, 7, 53
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Notes\Notes.js", "JavaScript", 119, 0, 0, 0, 0, 0, 5, 12, 136
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Notes\NotesPage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Recommendations\CreateRecommendation.js", "JavaScript", 83, 0, 0, 0, 0, 0, 9, 13, 105
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Recommendations\EditRecommendation.js", "JavaScript", 104, 0, 0, 0, 0, 0, 3, 12, 119
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Recommendations\RecommendationPage.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 6, 52
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Recommendations\Recommendations.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 15, 150
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Recommendations\RecommendationsPage.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Tests\NewTest.js", "JavaScript", 149, 0, 0, 0, 0, 0, 2, 16, 167
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Tests\TestStyle.css", "CSS", 0, 0, 57, 0, 0, 0, 4, 8, 69
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Tests\Tests.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 19, 163
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Tests\TestsPage.js", "JavaScript", 54, 0, 0, 0, 0, 0, 1, 11, 66
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Tests\questionsData.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 2, 131
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Therapies\CreateTherapy.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 17, 195
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Therapies\EditTherapy.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 20, 176
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Therapies\Therapies.js", "JavaScript", 140, 0, 0, 0, 0, 0, 7, 16, 163
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Therapies\TherapiesPage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Therapies\TherapyPage.js", "JavaScript", 50, 0, 0, 0, 0, 0, 1, 8, 59
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Users\Admin.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\components\Users\Users.js", "JavaScript", 170, 0, 0, 0, 0, 0, 1, 15, 186
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\context\AuthProvider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\hooks\UseAuth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\hooks\UseAxiosPrivate.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\hooks\userRefreshToken.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Lenovo\OneDrive\Stalinis kompiuteris\Bakalauras\frontend\src\styles\index.css", "CSS", 0, 0, 560, 0, 0, 0, 4, 105, 669
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\README.md", "Markdown", 0, -9, 0, 0, 0, 0, 0, -9, -18
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package-lock.json", "JSON", 0, 0, 0, 0, -27205, 0, 0, -1, -27206
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\package.json", "JSON", 0, 0, 0, 0, -40, 0, 0, -1, -41
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\index.html", "HTML", 0, 0, 0, 0, 0, -17, -23, -3, -43
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\public\manifest.json", "JSON", 0, 0, 0, 0, -25, 0, 0, -1, -26
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\App.js", "JavaScript", -72, 0, 0, 0, 0, 0, 0, -10, -82
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\api\axios.js", "JavaScript", -10, 0, 0, 0, 0, 0, 0, -2, -12
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentPage.js", "JavaScript", -55, 0, 0, 0, 0, 0, -1, -10, -66
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\Appointments.js", "JavaScript", -138, 0, 0, 0, 0, 0, -9, -16, -163
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\AppointmentsPage.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, -5, -30
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\CreateAppointment.js", "JavaScript", -121, 0, 0, 0, 0, 0, -3, -17, -141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\EditAppointment.js", "JavaScript", -121, 0, 0, 0, 0, 0, 0, -14, -135
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Appointments\MyAppointments.js", "JavaScript", -124, 0, 0, 0, 0, 0, 0, -17, -141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Login.js", "JavaScript", -91, 0, 0, 0, 0, 0, -3, -14, -108
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Register.js", "JavaScript", -200, 0, 0, 0, 0, 0, -4, -22, -226
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RegisterDoctor.js", "JavaScript", -197, 0, 0, 0, 0, 0, -4, -24, -225
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\RequireAuth.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, -4, -19
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Authorization\Unauthorized.js", "JavaScript", -16, 0, 0, 0, 0, 0, 0, -4, -20
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Editor.js", "JavaScript", -62, 0, 0, 0, 0, 0, 0, -9, -71
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Home.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -4, -16
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Layout.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Missing.js", "JavaScript", -13, 0, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\NavBar.js", "JavaScript", -35, 0, 0, 0, 0, 0, -2, -7, -44
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\CreateRecommendation.js", "JavaScript", -74, 0, 0, 0, 0, 0, -9, -14, -97
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\EditRecommendation.js", "JavaScript", -91, 0, 0, 0, 0, 0, -3, -13, -107
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\RecommendationPage.js", "JavaScript", -47, 0, 0, 0, 0, 0, -1, -7, -55
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\Recommendations.js", "JavaScript", -126, 0, 0, 0, 0, 0, 0, -15, -141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\RecommendationsPage.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, -5, -30
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\CreateTherapy.js", "JavaScript", -124, 0, 0, 0, 0, 0, -10, -14, -148
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\EditTherapy.js", "JavaScript", -102, 0, 0, 0, 0, 0, -1, -14, -117
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\Therapies.js", "JavaScript", -120, 0, 0, 0, 0, 0, -4, -12, -136
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapiesPage.js", "JavaScript", -13, 0, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapyPage.js", "JavaScript", -49, 0, 0, 0, 0, 0, -1, -6, -56
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Admin.js", "JavaScript", -13, 0, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Users.js", "JavaScript", -78, 0, 0, 0, 0, 0, -2, -9, -89
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\context\AuthProvider.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, -4, -15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAuth.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAxiosPrivate.js", "JavaScript", -37, 0, 0, 0, 0, 0, 0, -7, -44
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\userRefreshToken.js", "JavaScript", -22, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.css", "CSS", 0, 0, -385, 0, 0, 0, -4, -66, -455
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.js", "JavaScript", -18, 0, 0, 0, 0, 0, 0, -1, -19
"Total", "-", 1826, -9, 310, 3, 16, 0, 34, 239, 2419